edad,renuncia,viajes,tarifa_diaria,departamento,distancia_al_trabajo,educacion,campo_de_educacion,conteo_de_empleados,numero_de_empleado,satisfaccion_ambiente,genero,tarifa_por_hora,involucracion_laboral,nivel_laboral,rol_laboral,satisfaccion_laboral,estado_civil,ingreso_mensual,tarifa_mensual,num_empresas_trabajadas,horas_extras,incremento_salarial_porcentaje,calificacion_de_rendimiento,satisfaccion_relacion,horas_estandar,nivel_de_stock,aí±os_trabajando,num_entrenamientos_aí±o,balance_vida_trabajo,aí±os_en_la_empresa,aí±os_en_el_puesto,aí±os_desde_ultimo_ascenso,aí±os_con_actual_supervisor
41,Si,Viaja_Raramente,1102,Ventas,1,2,Ciencias de la Vida,1,1,2,Femenino,94,3,2,Ejecutivo de Ventas,4,Soltero,5993,19479,8,Si,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Viaja_Frecuentemente,279,Investigación y Desarrollo,8,1,Ciencias de la Vida,1,2,3,Masculino,61,2,2,Cientí­fico de Investigación,2,Casado,5130,24907,1,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Si,Viaja_Raramente,1373,Investigación y Desarrollo,2,2,Otro,1,4,4,Masculino,92,2,1,Técnico de Laboratorio,3,Soltero,2090,2396,6,Si,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Viaja_Frecuentemente,1392,Investigación y Desarrollo,3,4,Ciencias de la Vida,1,5,4,Femenino,56,3,1,Cientí­fico de Investigación,3,Casado,2909,23159,1,Si,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Viaja_Raramente,591,Investigación y Desarrollo,2,1,Medicina,1,7,1,Masculino,40,3,1,Técnico de Laboratorio,2,Casado,3468,16632,9,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Viaja_Frecuentemente,1005,Investigación y Desarrollo,2,2,Ciencias de la Vida,1,8,4,Masculino,79,3,1,Técnico de Laboratorio,4,Soltero,3068,11864,0,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Viaja_Raramente,1324,Investigación y Desarrollo,3,3,Medicina,1,10,3,Femenino,81,4,1,Técnico de Laboratorio,1,Casado,2670,9964,4,Si,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Viaja_Raramente,1358,Investigación y Desarrollo,24,1,Ciencias de la Vida,1,11,4,Masculino,67,3,1,Técnico de Laboratorio,3,Divorciado,2693,13335,1,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Viaja_Frecuentemente,216,Investigación y Desarrollo,23,3,Ciencias de la Vida,1,12,4,Masculino,44,2,3,Director de Manufactura,3,Soltero,9526,8787,0,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,Viaja_Raramente,1299,Investigación y Desarrollo,27,3,Medicina,1,13,3,Masculino,94,3,2,Representante de Salud,3,Casado,5237,16577,6,No,13,3,2,80,2,17,3,2,7,7,7,7
