edad,renuncia,viajes,departamento,educacion,campo_de_educacion,satisfaccion_ambiente,genero,tarifa_por_hora,involucracion_laboral,rol_laboral,satisfaccion_laboral,estado_civil,ingreso_mensual,num_empresas_trabajadas,horas_extras,incremento_salarial_porcentaje,calificacion_de_rendimiento,antiguedad,entrenamientos,antiguedad_en_la_empresa,antiguedad_en_el_puesto,anios_desde_ultimo_ascenso,anios_con_actual_supervisor
49,No,Viaja_Frecuentemente,Investigación y Desarrollo,1,Ciencias de la Vida,3,Masculino,61,2,Cientí­fico de Investigación,2,Casado,5130,1,No,23,4,10,3,10,7,1,7
33,No,Viaja_Frecuentemente,Investigación y Desarrollo,4,Ciencias de la Vida,4,Femenino,56,3,Cientí­fico de Investigación,3,Casado,2909,1,Si,11,3,8,3,8,7,3,0
27,No,Viaja_Raramente,Investigación y Desarrollo,1,Medicina,1,Masculino,40,3,Técnico de Laboratorio,2,Casado,3468,9,No,12,3,6,3,2,2,2,2
32,No,Viaja_Frecuentemente,Investigación y Desarrollo,2,Ciencias de la Vida,4,Masculino,79,3,Técnico de Laboratorio,4,Soltero,3068,0,No,13,3,8,2,7,7,3,6
59,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Femenino,81,4,Técnico de Laboratorio,1,Casado,2670,4,Si,20,4,12,3,1,0,0,0
30,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,4,Masculino,67,3,Técnico de Laboratorio,3,Divorciado,2693,1,No,22,4,1,2,1,0,0,0
38,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Ciencias de la Vida,4,Masculino,44,2,Director de Manufactura,3,Soltero,9526,0,No,21,4,10,2,9,7,1,8
36,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Masculino,94,3,Representante de Salud,3,Casado,5237,6,No,13,3,17,3,7,7,7,7
35,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,1,Masculino,84,4,Técnico de Laboratorio,2,Casado,2426,0,No,13,3,6,5,5,4,0,3
29,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,4,Femenino,49,2,Técnico de Laboratorio,3,Soltero,4193,0,Si,12,3,10,3,9,5,0,8
31,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,1,Masculino,31,3,Cientí­fico de Investigación,3,Divorciado,2911,1,No,17,3,5,1,5,2,4,3
34,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,2,Masculino,93,3,Técnico de Laboratorio,4,Divorciado,2661,0,No,11,3,3,2,2,2,1,2
29,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,2,Femenino,51,4,Director de Manufactura,1,Divorciado,9980,1,No,11,3,10,1,10,9,8,8
32,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,1,Masculino,80,4,Cientí­fico de Investigación,2,Divorciado,3298,0,Si,12,3,7,5,6,2,0,5
22,No,No_Viaja,Investigación y Desarrollo,2,Medicina,4,Masculino,96,4,Técnico de Laboratorio,4,Divorciado,2935,1,Si,13,3,1,2,1,0,0,0
53,No,Viaja_Raramente,Ventas,4,Ciencias de la Vida,1,Femenino,78,2,Gerente,4,Casado,15427,2,No,16,3,31,3,25,8,3,7
38,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,4,Masculino,45,3,Cientí­fico de Investigación,4,Soltero,3944,5,Si,11,3,6,3,3,2,1,2
24,No,No_Viaja,Investigación y Desarrollo,2,Otro,1,Femenino,96,4,Director de Manufactura,3,Divorciado,4011,0,No,18,3,5,5,4,2,1,3
34,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,1,Femenino,53,3,Director de Investigación,2,Soltero,11994,0,No,11,3,13,4,12,6,2,11
21,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,3,Masculino,96,3,Cientí­fico de Investigación,4,Soltero,1232,1,No,14,3,0,6,0,0,0,0
53,No,Viaja_Raramente,Investigación y Desarrollo,3,Otro,3,Femenino,58,3,Gerente,3,Divorciado,19094,4,No,11,3,26,3,14,13,4,8
42,No,Viaja_Raramente,Ventas,4,Mercadeo,3,Masculino,48,3,Ejecutivo de Ventas,2,Casado,6825,0,No,11,3,10,2,9,7,4,2
44,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,1,Femenino,42,2,Representante de Salud,4,Casado,10248,3,No,14,3,24,4,22,6,5,17
46,No,Viaja_Raramente,Ventas,4,Mercadeo,2,Femenino,83,3,Gerente,1,Soltero,18947,3,No,12,3,22,2,2,2,2,1
33,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,3,Masculino,78,3,Técnico de Laboratorio,4,Soltero,2496,4,No,11,3,7,3,1,1,0,0
44,No,Viaja_Raramente,Investigación y Desarrollo,4,Otro,4,Masculino,41,3,Representante de Salud,4,Casado,6465,2,Si,13,3,9,5,4,2,1,3
30,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,4,Masculino,83,2,Técnico de Laboratorio,3,Soltero,2206,1,No,13,3,10,5,10,0,1,8
43,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,4,Femenino,72,4,Cientí­fico de Investigación,3,Divorciado,2645,1,No,12,3,6,3,5,3,1,4
35,No,Viaja_Raramente,Ventas,3,Mercadeo,4,Femenino,97,3,Representante de Ventas,4,Casado,2014,1,No,13,3,2,3,2,2,2,2
36,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,2,Femenino,82,2,Cientí­fico de Investigación,1,Casado,3419,9,Si,14,3,6,3,1,1,0,0
33,No,Viaja_Frecuentemente,Ventas,3,Ciencias de la Vida,3,Femenino,42,4,Ejecutivo de Ventas,1,Casado,5376,2,No,19,3,10,3,5,3,1,3
35,No,Viaja_Raramente,Investigación y Desarrollo,2,Otro,3,Masculino,75,3,Técnico de Laboratorio,4,Divorciado,1951,1,No,12,3,1,3,1,0,0,0
27,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,4,Femenino,33,3,Técnico de Laboratorio,1,Divorciado,2341,1,No,13,3,1,6,1,0,0,0
27,No,Viaja_Frecuentemente,Ventas,3,Ciencias de la Vida,4,Masculino,37,3,Ejecutivo de Ventas,3,Soltero,8726,1,No,15,3,9,0,9,8,1,7
30,No,Viaja_Frecuentemente,Investigación y Desarrollo,2,Medicina,3,Femenino,58,3,Técnico de Laboratorio,4,Soltero,4011,1,No,23,4,12,2,12,8,3,7
34,No,No_Viaja,Ventas,4,Mercadeo,2,Masculino,72,3,Ejecutivo de Ventas,3,Soltero,4568,0,No,20,4,10,2,9,5,8,7
37,No,Viaja_Raramente,Investigación y Desarrollo,2,Ciencias de la Vida,2,Masculino,73,3,Cientí­fico de Investigación,2,Casado,3022,4,No,21,4,8,1,1,0,0,0
46,No,Viaja_Frecuentemente,Ventas,4,Mercadeo,1,Masculino,98,3,Ejecutivo de Ventas,4,Soltero,5772,4,Si,21,4,14,4,9,6,0,8
35,No,Viaja_Raramente,Investigación y Desarrollo,1,Ciencias de la Vida,4,Masculino,36,4,Técnico de Laboratorio,4,Casado,2269,1,No,19,3,1,2,1,0,0,1
44,No,Viaja_Raramente,Ventas,5,Mercadeo,2,Femenino,75,3,Ejecutivo de Ventas,1,Divorciado,5454,5,Si,21,4,9,2,4,3,1,3
35,No,No_Viaja,Investigación y Desarrollo,2,Medicina,3,Masculino,79,2,Representante de Salud,1,Casado,9884,2,Si,13,3,10,3,4,0,2,3
26,No,Viaja_Raramente,Ventas,3,Mercadeo,3,Femenino,47,2,Ejecutivo de Ventas,4,Casado,4157,7,Si,19,3,5,2,2,2,0,0
33,No,Viaja_Frecuentemente,Investigación y Desarrollo,2,Ciencias de la Vida,1,Femenino,98,3,Director de Investigación,4,Soltero,13458,1,Si,12,3,15,1,15,14,8,12
35,No,Viaja_Frecuentemente,Ventas,5,Ciencias de la Vida,2,Masculino,71,3,Ejecutivo de Ventas,1,Casado,9069,1,No,22,4,9,3,9,8,1,8
35,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,3,Femenino,30,3,Técnico de Laboratorio,1,Casado,4014,3,Si,15,3,4,3,2,2,2,2
31,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,4,Masculino,48,3,Técnico de Laboratorio,4,Divorciado,5915,3,No,22,4,10,3,7,7,1,7
37,No,Viaja_Raramente,Investigación y Desarrollo,4,Ciencias de la Vida,1,Masculino,51,2,Director de Manufactura,3,Divorciado,5993,1,No,18,3,7,2,7,5,0,7
32,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,1,Masculino,33,3,Director de Manufactura,4,Casado,6162,1,Si,22,4,9,3,9,8,7,8
38,No,Viaja_Frecuentemente,Investigación y Desarrollo,5,Ciencias de la Vida,4,Femenino,50,3,Técnico de Laboratorio,4,Soltero,2406,1,No,11,3,10,2,10,3,9,9
50,No,Viaja_Raramente,Investigación y Desarrollo,2,Medicina,2,Femenino,43,2,Director de Investigación,3,Divorciado,18740,5,Si,12,3,29,2,27,3,13,8
59,No,Viaja_Raramente,Ventas,3,Ciencias de la Vida,1,Femenino,99,3,Ejecutivo de Ventas,1,Soltero,7637,7,No,11,3,28,3,21,16,7,9
36,No,Viaja_Raramente,Investigación y Desarrollo,3,Grado Tí©cnico,3,Femenino,59,3,Representante de Salud,3,Divorciado,10096,1,No,13,3,17,2,17,14,12,8
55,No,Viaja_Raramente,Investigación y Desarrollo,3,Medicina,4,Femenino,33,3,Gerente,3,Divorciado,14756,2,Si,14,3,21,2,5,0,0,2
36,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Ciencias de la Vida,2,Masculino,95,2,Director de Manufactura,2,Soltero,6499,1,No,13,3,6,3,6,5,0,3
45,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,2,Masculino,59,3,Cientí­fico de Investigación,1,Divorciado,9724,2,No,17,3,25,2,1,0,0,0
35,No,Viaja_Frecuentemente,Investigación y Desarrollo,3,Medicina,2,Masculino,79,3,Cientí­fico de Investigación,1,Casado,2194,4,No,13,3,5,2,3,2,1,2
59,No,Viaja_Frecuentemente,Ventas,1,Ciencias de la Vida,1,Femenino,57,2,Ejecutivo de Ventas,3,Soltero,5473,7,No,11,3,20,2,4,3,1,3
29,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,3,Masculino,76,3,Cientí­fico de Investigación,2,Casado,2703,0,No,23,4,6,3,5,4,0,4
31,No,Viaja_Raramente,Investigación y Desarrollo,4,Medicina,3,Masculino,87,3,Cientí­fico de Investigación,2,Soltero,2501,1,No,17,3,1,4,1,1,1,0
32,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,2,Masculino,66,3,Cientí­fico de Investigación,2,Casado,6220,1,No,17,3,10,3,10,4,0,9
36,No,Viaja_Raramente,Investigación y Desarrollo,3,Ciencias de la Vida,2,Femenino,55,4,Técnico de Laboratorio,4,Casado,3038,3,No,12,3,5,3,1,0,0,0
