date,diesel,Brent,WTI
Jun-06,3.33,69.23272727,70.96
Jul-06,3.51,74.04095238,74.41
Aug-06,3.54,73.50043478,73.05
Sep-06,2.86,62.52714286,63.87
Oct-06,2.83,58.75818182,58.88
Nov-06,2.82,59.22272727,59.37
Dec-06,2.82,62.26047619,62.03
Jan-07,2.51,54.50304348,54.57
Feb-07,2.7,57.9695,59.26
Mar-07,2.88,62.35727273,60.56
Apr-07,3.11,67.69047619,63.97
May-07,3.11,67.71782609,63.46
Jun-07,3.26,70.61904762,67.48
Jul-07,3.25,76.13318182,74.18
Aug-07,3.21,71.31304348,72.39
Sep-07,3.51,76.772,79.93
Oct-07,3.54,82.5073913,86.2
Nov-07,3.91,92.73136364,94.62
Dec-07,3.81,91.51952381,91.73
Jan-08,3.71,92.09173913,92.95
Feb-08,3.91,94.72238095,95.35
Mar-08,4.51,103.1619048,105.56
Apr-08,4.7,110.0331818,112.57
May-08,5.22,123.8622727,125.39
Jun-08,5.32,132.7604762,133.93
Jul-08,5.22,133.5852174,133.44
Aug-08,4.59,113.8004762,116.61
Sep-08,4.34,98.75545455,103.9
Oct-08,3.54,71.96347826,76.65
Nov-08,2.9,52.7135,57.44
Dec-08,2.13,40.51173913,41.02
Jan-09,2.23,43.17454545,41.74
Feb-09,1.98,42.9105,39.16
Mar-09,2.05,46.58272727,47.98
Apr-09,2.18,50.51909091,49.79
May-09,2.22,57.50142857,59.16
Jun-09,2.64,68.58,69.68
Jul-09,2.5,64.90434783,64.09
Aug-09,2.78,72.59190476,71.06
Sep-09,2.56,67.51318182,69.46
Oct-09,2.77,72.96863636,75.82
Nov-09,2.78,76.93666667,78.08
Dec-09,2.76,74.78956522,74.3
Jan-10,2.88,76.60238095,78.22
Feb-10,2.87,73.903,76.42
Mar-10,3.02,79.51913043,81.24
Apr-10,3.16,85.15636364,84.48
May-10,2.97,76.13238095,73.84
Jun-10,2.95,75.24636364,75.35
Jul-10,2.85,75.195,76.37
Aug-10,2.88,76.89181818,76.82
Sep-10,2.9,77.93818182,75.31
Oct-10,3,83.33857143,81.9
Nov-10,3.08,85.80090909,84.14
Dec-10,3.27,91.96,89.04
Jan-11,3.4,96.95238095,89.42
Feb-11,3.63,104.2385,89.58
