fecha,ventas,precio,publicidad,promocion,mes
2016-01-01,81,33.92,3365.43,0,1
2016-02-01,96,31.56,3513.5,0,2
2016-03-01,181,35.86,2894.13,0,3
2016-04-01,60,35.09,2715.38,0,4
2016-05-01,86,38.78,1685.77,0,5
2016-06-01,106,35.95,1706.66,1,6
2016-07-01,73,33.17,1091.77,0,7
2016-08-01,71,31.29,3213.97,0,8
2016-09-01,40,36.85,1961.05,1,9
2016-10-01,85,34.57,3064.48,0,10
2016-11-01,34,35.22,2557.88,1,11
2016-12-01,22,33.92,1509.72,0,12
2017-01-01,45,30.48,1328.41,0,1
2017-02-01,8,37.79,1139.85,0,2
2017-03-01,20,36.77,1492.73,0,3
2017-04-01,178,36.15,2312.24,1,4
2017-05-01,122,37.3,1811.75,1,5
2017-06-01,60,32.57,2482.0,1,6
2017-07-01,9,40.64,2670.04,0,7
2017-08-01,52,34.96,1353.24,0,8
2017-09-01,82,36.7,1482.01,1,9
2017-10-01,181,37.71,2278.85,1,10
2017-11-01,273,29.07,3774.7,0,11
2017-12-01,100,40.11,3874.94,0,12
2018-01-01,89,36.1,1731.05,0,1
2018-02-01,44,31.75,1128.5,0,2
2018-03-01,92,35.14,1654.47,1,3
2018-04-01,33,42.9,1498.51,1,4
2018-05-01,74,35.52,2723.14,0,5
2018-06-01,103,32.6,3195.71,1,6
2018-07-01,14,35.79,3450.18,0,7
2018-08-01,14,37.2,1167.81,0,8
2018-09-01,104,34.73,1565.42,0,9
2018-10-01,64,34.81,1980.19,0,10
2018-11-01,134,39.31,4636.55,0,11
2018-12-01,54,38.48,478.27,0,12
2019-01-01,149,36.43,4546.74,0,1
2019-02-01,39,36.31,1955.45,0,2
2019-03-01,18,36.89,2183.37,0,3
2019-04-01,45,35.48,3416.64,0,4
2019-05-01,60,36.57,3112.15,1,5
2019-06-01,114,36.98,1298.37,0,6
2019-07-01,37,40.37,1102.57,0,7
2019-08-01,313,33.8,1300.75,1,8
2019-09-01,112,39.11,1431.24,0,9
2019-10-01,99,40.98,2842.43,1,10
2019-11-01,52,34.7,3238.36,1,11
2019-12-01,36,37.34,1485.66,0,12
2020-01-01,25,37.55,1524.39,0,1
2020-02-01,54,36.55,1719.89,0,2
2020-03-01,21,35.8,999.95,0,3
2020-04-01,48,34.54,382.01,0,4
2020-05-01,7,31.55,3616.46,0,5
2020-06-01,63,38.56,523.36,0,6
2020-07-01,193,28.98,819.62,1,7
2020-08-01,44,38.47,1337.15,0,8
2020-09-01,39,39.53,748.43,1,9
2020-10-01,65,34.7,1035.98,1,10
2020-11-01,58,38.73,1849.82,1,11
2020-12-01,9,39.15,906.89,0,12
2021-01-01,55,39.19,2583.49,0,1
2021-02-01,40,36.33,1658.67,1,2
2021-03-01,47,38.36,3377.23,0,3
2021-04-01,71,38.03,2762.96,0,4
2021-05-01,72,35.54,2922.05,1,5
2021-06-01,39,36.28,2763.61,0,6
2021-07-01,52,39.26,2044.9,0,7
2021-08-01,332,36.33,3178.89,1,8
2021-09-01,251,38.85,969.22,1,9
2021-10-01,101,38.0,2269.9,0,10
2021-11-01,20,37.21,1518.82,1,11
2021-12-01,189,38.13,3036.44,1,12
2022-01-01,37,38.73,1501.53,1,1
2022-02-01,199,38.1,4117.68,0,2
2022-03-01,66,38.42,1252.03,0,3
2022-04-01,153,39.73,4191.18,0,4
2022-05-01,47,37.63,2708.57,0,5
2022-06-01,27,38.62,2157.86,0,6
2022-07-01,48,37.65,1644.43,1,7
2022-08-01,176,39.2,1712.65,1,8
2022-09-01,146,37.92,2117.55,0,9
2022-10-01,31,40.05,1957.9,0,10
2022-11-01,67,41.07,1105.54,0,11
2022-12-01,87,34.85,1448.47,1,12
2023-01-01,34,41.88,482.35,0,1
2023-02-01,31,41.38,822.31,0,2
2023-03-01,102,36.51,4111.85,1,3
2023-04-01,46,44.49,1624.55,0,4
2023-05-01,392,39.12,1474.3,1,5
2023-06-01,64,39.89,600.85,0,6
2023-07-01,29,42.88,434.08,1,7
2023-08-01,61,37.08,1079.97,0,8
2023-09-01,18,35.92,2691.33,0,9
2023-10-01,177,37.91,1566.79,1,10
2023-11-01,37,39.21,2248.23,0,11
2023-12-01,19,39.8,827.81,0,12
2024-01-01,123,40.61,2615.52,1,1
2024-02-01,2,43.14,1356.59,0,2
2024-03-01,118,36.99,2348.72,0,3
2024-04-01,198,35.94,2283.23,0,4
2024-05-01,58,39.8,3020.05,0,5
2024-06-01,40,38.98,1286.24,0,6
2024-07-01,170,38.91,2043.92,0,7
2024-08-01,71,35.71,3183.1,0,8
2024-09-01,95,40.85,1021.25,0,9
2024-10-01,323,40.84,2106.72,1,10
2024-11-01,340,38.53,1957.93,1,11
2024-12-01,131,46.08,2396.91,0,12
2025-01-01,82,36.36,1501.48,1,1
2025-02-01,124,41.92,1940.88,0,2
2025-03-01,152,37.96,2958.07,1,3
2025-04-01,41,37.3,1364.93,0,4
2025-05-01,171,36.56,3973.73,0,5
2025-06-01,257,42.1,3679.18,1,6
2025-07-01,13,38.05,1327.27,0,7
2025-08-01,122,38.39,740.6,0,8
2025-09-01,65,38.63,1586.91,0,9
2025-10-01,133,40.76,1440.38,1,10
2025-11-01,184,42.67,1734.1,0,11
2025-12-01,31,40.66,582.96,0,12
