fecha,tcblue,golpe
19-Jan,7.91,0
20-Jan,7.93,0
21-Jan,7.88,0
22-Jan,7.82,0
23-Jan,7.88,0
24-Jan,7.87,0
25-Jan,7.91,0
26-Jan,7.9,0
27-Jan,7.86,0
28-Jan,7.81,0
29-Jan,7.85,0
30-Jan,7.83,0
31-Jan,7.84,0
1-Feb,7.84,0
2-Feb,7.92,0
3-Feb,7.93,0
4-Feb,7.92,0
5-Feb,7.93,0
6-Feb,7.98,0
7-Feb,8.05,0
8-Feb,8.17,0
9-Feb,8.07,0
10-Feb,7.98,0
11-Feb,7.95,0
12-Feb,7.91,0
13-Feb,7.83,0
14-Feb,7.98,0
15-Feb,8.09,0
16-Feb,8.33,0
17-Feb,8.34,0
18-Feb,8.37,0
19-Feb,8.71,0
20-Feb,8.55,0
21-Feb,8.58,0
22-Feb,8.4,0
23-Feb,8.35,0
24-Feb,7.97,0
25-Feb,7.99,0
26-Feb,8.2,0
27-Feb,8.19,0
28-Feb,8.18,0
29-Feb,8.11,0
1-Mar,8.12,0
2-Mar,8.1,0
3-Mar,8.08,0
4-Mar,8.1,0
5-Mar,8.12,0
6-Mar,8.16,0
7-Mar,8.28,0
8-Mar,8.32,0
9-Mar,8.24,0
10-Mar,8.25,0
11-Mar,8.21,0
12-Mar,8.21,0
13-Mar,8.21,0
14-Mar,8.27,0
15-Mar,8.25,0
16-Mar,8.25,0
17-Mar,8.24,0
18-Mar,8.23,0
19-Mar,8.31,0
20-Mar,8.29,0
21-Mar,8.3,0
22-Mar,8.3,0
23-Mar,8.29,0
24-Mar,8.29,0
25-Mar,8.27,0
26-Mar,8.31,0
27-Mar,8.31,0
28-Mar,8.29,0
29-Mar,8.27,0
30-Mar,8.26,0
31-Mar,8.27,0
1-Apr,8.27,0
2-Apr,8.29,0
3-Apr,8.3,0
4-Apr,8.3,0
5-Apr,8.32,0
6-Apr,8.32,0
7-Apr,8.3,0
8-Apr,8.33,0
9-Apr,8.36,0
10-Apr,8.37,0
11-Apr,8.42,0
12-Apr,8.47,0
13-Apr,8.51,0
14-Apr,8.49,0
15-Apr,8.55,0
16-Apr,8.55,0
17-Apr,8.58,0
18-Apr,8.54,0
19-Apr,8.49,0
20-Apr,8.49,0
21-Apr,8.5,0
22-Apr,8.48,0
23-Apr,8.5,0
24-Apr,8.57,0
25-Apr,8.55,0
26-Apr,8.55,0
27-Apr,8.56,0
28-Apr,8.55,0
29-Apr,8.51,0
30-Apr,8.52,0
1-May,8.52,0
2-May,8.49,0
3-May,8.52,0
4-May,8.54,0
5-May,8.58,0
6-May,8.55,0
7-May,8.57,0
8-May,8.58,0
9-May,8.64,0
10-May,8.67,0
11-May,8.79,0
12-May,8.87,0
13-May,8.77,0
14-May,8.74,0
15-May,8.76,0
16-May,8.84,0
17-May,8.89,0
18-May,8.87,0
19-May,8.86,0
20-May,8.79,0
21-May,8.79,0
22-May,8.77,0
23-May,8.79,0
24-May,8.78,0
25-May,8.79,0
26-May,8.77,0
27-May,8.78,0
28-May,8.76,0
29-May,8.75,0
30-May,8.75,0
31-May,8.73,0
1-Jun,8.68,0
2-Jun,8.72,0
3-Jun,8.7,0
4-Jun,8.69,0
5-Jun,8.75,0
6-Jun,8.74,0
7-Jun,8.85,0
8-Jun,8.83,0
9-Jun,8.82,0
10-Jun,8.86,0
11-Jun,8.9,0
12-Jun,8.93,0
13-Jun,8.97,0
14-Jun,9.06,0
15-Jun,9.02,0
16-Jun,8.96,0
17-Jun,8.96,0
18-Jun,9.04,0
19-Jun,9.01,0
20-Jun,9.02,0
21-Jun,9.02,0
22-Jun,9.02,0
23-Jun,9.03,0
24-Jun,9.03,0
25-Jun,9.11,0
26-Jun,9.16,0
27-Jun,9.27,0
28-Jun,9.26,1
29-Jun,9.2,1
30-Jun,9.22,1
1-Jul,9.16,1
2-Jul,9.27,1
3-Jul,9.45,1
4-Jul,9.64,1
5-Jul,9.8,1
6-Jul,9.93,1
7-Jul,9.84,1
8-Jul,9.89,1
9-Jul,9.86,1
10-Jul,9.9,1
11-Jul,9.98,1
12-Jul,10.27,1
13-Jul,10.15,1
14-Jul,10.15,1
15-Jul,10.07,1
